,Star Name,Distance,Mass,Radius
94,2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de]
95,2MASSI J0937347+293142,2MASSI J0937347+293142,2MASSI J0937347+293142,2MASSI J0937347+293142
96,2MASS 0939−2448,2MASS 0939−2448,2MASS 0939−2448,2MASS 0939−2448
97,2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de]
98,2MASS J10073369-4555147,2MASS J10073369-4555147,2MASS J10073369-4555147,2MASS J10073369-4555147
99,2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de]
100,2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de]
101,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1
102,2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de]
103,2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de]
104,2MASS J1047538+212423 [de],2MASS J1047538+212423 [de],2MASS J1047538+212423 [de],2MASS J1047538+212423 [de]
105,DEN 1048-3956,DEN 1048-3956,DEN 1048-3956,DEN 1048-3956
106,Luhman 16B,Luhman 16B,Luhman 16B,Luhman 16B
107,Luhman 16A,Luhman 16A,Luhman 16A,Luhman 16A
108,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548
109,TWA 28,TWA 28,TWA 28,TWA 28
110,Cha 110913-773444,Cha 110913-773444,Cha 110913-773444,Cha 110913-773444
111,OTS 44,OTS 44,OTS 44,OTS 44
112,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1
113,2MASS J11145133−2618235,2MASS J11145133−2618235,2MASS J11145133−2618235,2MASS J11145133−2618235
114,TWA 26,TWA 26,TWA 26,TWA 26
115,2MASSW J1146345+223053,2MASSW J1146345+223053,2MASSW J1146345+223053,2MASSW J1146345+223053
116,2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de]
117,2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de]
118,TWA 27A,TWA 27A,TWA 27A,TWA 27A
119,TWA 27B,TWA 27B,TWA 27B,TWA 27B
120,2MASS J12074836-3900043,2MASS J12074836-3900043,2MASS J12074836-3900043,2MASS J12074836-3900043
121,2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de]
122,2MASS J12255432-2739466,2MASS J12255432-2739466,2MASS J12255432-2739466,2MASS J12255432-2739466
123,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547
124,2M 1237+6526,2M 1237+6526,2M 1237+6526,2M 1237+6526
125,2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de]
126,TWA 29,TWA 29,TWA 29,TWA 29
127,SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de]
128,Kelu-1A,Kelu-1A,Kelu-1A,Kelu-1A
129,Kelu-1B,Kelu-1B,Kelu-1B,Kelu-1B
130,2MASS J13204427+0409045,2MASS J13204427+0409045,2MASS J13204427+0409045,2MASS J13204427+0409045
131,SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de]
132,SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de]
133,2MASS J13595510-4034582,2MASS J13595510-4034582,2MASS J13595510-4034582,2MASS J13595510-4034582
134,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3
135,SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de]
136,DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de]
